CORRIDOR,DIR,REF_POINT,SMT_CITY_NAME,COUNTY,CRASH_MONTH,CRASH_YEAR,DAY_OF_WEEK,SMS_X_CORD,SMS_Y_CORD,LATITUDE,LONGITUDE,REF_POINT_FLOAT
C001279,A,000+0.668,BILLINGS,YELLOWSTONE,APRIL,2021,WED,674473.34000,172147.93500,0,0,0.668
C001279,A,000+0.000,BILLINGS,YELLOWSTONE,JANUARY,2021,FRI,675548.86676,172158.58074,45.7949113052542,-108.527909507767,0.0
C001279,A,001+0.505,BILLINGS,YELLOWSTONE,APRIL,2021,MON,673126.65500,172136.26600,45.7949550759502,-108.55906667866,1.505
C001279,A,000+0.369,BILLINGS,YELLOWSTONE,DECEMBER,2021,THU,674954.17670,172145.12710,45.7948350861472,-108.535553332121,0.369
C001279,A,001+0.174,BILLINGS,YELLOWSTONE,OCTOBER,2021,THU,673660.35208,172142.10104,45.79495,-108.5522,1.174
C001279,A,000+0.751,BILLINGS,YELLOWSTONE,APRIL,2021,THU,674340.66450,172146.66730,45.7949166606692,-108.543446455755,0.751
C001279,A,000+0.773,BILLINGS,YELLOWSTONE,MARCH,2021,FRI,674305.82039,172113.27902,45.794620000000002,-108.54389999999999,0.773
C001279,A,001+0.507,BILLINGS,YELLOWSTONE,SEPTEMBER,2022,THU,673124.10267,172137.85760,45.794969999999999,-108.5591,1.5070000000000001
C001279,A,000+0.720,BILLINGS,YELLOWSTONE,DECEMBER,2022,FRI,674390.88462,172148.76302,45.794930000000001,-108.5428,0.72
C001279,A,003+0.351,BILLINGS,YELLOWSTONE,FEBRUARY,2022,SAT,670156.86800,172106.51000,45.794800000000002,108.5973,3.351
C001279,A,002+0.795,BILLINGS,YELLOWSTONE,FEBRUARY,2022,WED,671050.79000,172118.62300,45.79504,108.58580000000001,2.795
C001279,A,003+0.558,BILLINGS,YELLOWSTONE,FEBRUARY,2022,SUN,669824.02800,172102.20700,45.7949967808499,-108.60153269932,3.558
C001279,A,002+0.659,BILLINGS,YELLOWSTONE,MAY,2022,MON,671270.29790,172121.62910,45.7950218330548,-108.582953451031,2.659
C001279,A,001+0.001,BILLINGS,YELLOWSTONE,AUGUST,2022,SUN,673938.71200,172142.70000,45.7949295088783,-108.548632775257,1.001
C001279,A,002+0.297,BILLINGS,YELLOWSTONE,MARCH,2022,THU,671852.22040,172129.79340,45.7950337396965,-108.575465212018,2.297
C001279,A,003+0.555,BILLINGS,YELLOWSTONE,AUGUST,2022,MON,669829.01633,172101.38732,45.794989999999999,-108.6015,3.555
C001279,A,002+0.119,BILLINGS,YELLOWSTONE,MAY,2022,SUN,672140.02000,172131.10200,45.795270000000002,108.5716,2.1189999999999998
C001279,A,001+0.507,BILLINGS,YELLOWSTONE,AUGUST,2022,MON,673124.10267,172137.85760,45.7949550759502,-108.55906667866,1.5070000000000001
C001279,A,003+0.555,BILLINGS,YELLOWSTONE,OCTOBER,2022,SUN,669829.01633,172101.38732,45.794989999999999,-108.6015,3.555
C001279,A,001+0.507,BILLINGS,YELLOWSTONE,NOVEMBER,2022,MON,673124.10267,172137.85760,45.794969999999999,-108.5591,1.5070000000000001
C001279,A,000+0.627,BILLINGS,YELLOWSTONE,FEBRUARY,2022,MON,674539.55410,172149.38750,45.794919251693,-108.540887137489,0.627
C001279,A,000+0.372,BILLINGS,YELLOWSTONE,OCTOBER,2022,THU,674950.51590,172147.85028,45.79486,-108.5356,0.372
C001279,A,003+0.555,BILLINGS,YELLOWSTONE,APRIL,2023,MON,669829.01633,172101.38732,45.794989999999999,-108.6015,3.555
C001279,A,000+0.372,BILLINGS,YELLOWSTONE,NOVEMBER,2023,WED,674950.51590,172147.85028,45.79486,-108.5356,0.372
C001279,A,000+0.749,BILLINGS,YELLOWSTONE,AUGUST,2023,TUE,674344.25663,172148.19334,45.794930000000001,-108.54340000000001,0.749
C001279,A,000+0.720,BILLINGS,YELLOWSTONE,DECEMBER,2023,SAT,674390.88462,172148.76302,45.794930000000001,-108.5428,0.72
C001279,A,002+0.676,BILLINGS,YELLOWSTONE,JANUARY,2023,THU,671243.34269,172123.33212,45.79504,-108.58329999999999,2.676
C001279,A,001+0.096,BILLINGS,YELLOWSTONE,JUNE,2023,FRI,673785.04363,172114.72192,45.794690000000003,-108.5506,1.096
C001279,A,001+0.174,BILLINGS,YELLOWSTONE,OCTOBER,2023,TUE,673660.35208,172142.10104,45.79495,-108.5522,1.174
C001279,A,001+0.507,BILLINGS,YELLOWSTONE,DECEMBER,2023,WED,673124.10267,172137.85760,45.794969999999999,-108.5591,1.5070000000000001
C001279,A,001+0.507,BILLINGS,YELLOWSTONE,FEBRUARY,2023,MON,673124.10267,172137.85760,45.794969999999999,-108.5591,1.5070000000000001
C001279,A,002+0.864,BILLINGS,YELLOWSTONE,MAY,2023,WED,670940.25942,172119.79232,45.79504,-108.5872,2.864
C001279,A,001+0.521,BILLINGS,YELLOWSTONE,OCTOBER,2023,SAT,673101.10884,172110.91438,45.794730000000001,-108.5594,1.521
